STREAM_ID,NODE_ID,STREAM_KM,LONGITUDE,LATITUDE,TOPO_W,TOPO_S,TOPO_E,LC_T0_S0,LC_T1_S1,LC_T1_S2,LC_T1_S3,LC_T1_S4,LC_T1_S5,LC_T2_S1,LC_T2_S2,LC_T2_S3,LC_T2_S4,LC_T2_S5,LC_T3_S1,LC_T3_S2,LC_T3_S3,LC_T3_S4,LC_T3_S5,LC_T4_S1,LC_T4_S2,LC_T4_S3,LC_T4_S4,LC_T4_S5,LC_T5_S1,LC_T5_S2,LC_T5_S3,LC_T5_S4,LC_T5_S5,LC_T6_S1,LC_T6_S2,LC_T6_S3,LC_T6_S4,LC_T6_S5,LC_T7_S1,LC_T7_S2,LC_T7_S3,LC_T7_S4,LC_T7_S5,LC_T8_S1,LC_T8_S2,LC_T8_S3,LC_T8_S4,LC_T8_S5,ELE_T1_S1,ELE_T1_S2,ELE_T1_S3,ELE_T1_S4,ELE_T1_S5,ELE_T2_S1,ELE_T2_S2,ELE_T2_S3,ELE_T2_S4,ELE_T2_S5,ELE_T3_S1,ELE_T3_S2,ELE_T3_S3,ELE_T3_S4,ELE_T3_S5,ELE_T4_S1,ELE_T4_S2,ELE_T4_S3,ELE_T4_S4,ELE_T4_S5,ELE_T5_S1,ELE_T5_S2,ELE_T5_S3,ELE_T5_S4,ELE_T5_S5,ELE_T6_S1,ELE_T6_S2,ELE_T6_S3,ELE_T6_S4,ELE_T6_S5,ELE_T7_S1,ELE_T7_S2,ELE_T7_S3,ELE_T7_S4,ELE_T7_S5,ELE_T8_S1,ELE_T8_S2,ELE_T8_S3,ELE_T8_S4,ELE_T8_S5
,165,16.5,-90.77944155,43.64803538,14.65044905,3.49035304,5.253781074,-1,-1,-1,-2,-2,7,-1,2,-2,5,-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-1,-1,7,7,7,-1,10,10,9,9,-1,10,-2,4,10,-1,-1,-1,-1,-2,285.33832,285.33832,285.38007,285.04767,285.1227,285.33832,285.33832,285.0113,285.0113,284.86267,285.32642,285.32642,285.32642,284.9705,284.9705,285.73416,285.73416,285.73416,285.76343,285.76343,285.73416,286.09973,286.09973,286.09973,288.23993,285.73175,285.9929,287.9315,287.9315,290.29785,285.73175,285.9929,286.29132,286.29132,289.77075,285.73175,285.80466,285.80466,286.06335,286.06335
,164,16.4,-90.77979101,43.64718623,12.64348479,3.899516379,5.15893479,10,10,8,-2,-2,10,8,-2,-2,-2,11,10,10,-2,-2,-2,10,10,10,11,11,10,10,10,-2,11,-1,-2,10,10,8,-1,-1,-1,-2,10,10,-2,-2,-2,8,285.52826,285.47452,285.47452,285.30472,285.30472,285.28796,285.28796,285.07098,285.07098,284.8666,285.52826,285.11652,285.11652,284.67413,284.67413,285.52826,285.34265,285.2093,285.2093,285.04587,285.52826,285.6004,285.6004,285.98816,285.98816,285.52826,285.78976,286.38947,286.38947,287.4256,285.52826,286.00464,286.00464,288.10144,288.10144,285.74487,285.74487,285.94156,285.94156,285.94156
,163,16.3,-90.77983095,43.64632883,10.24872348,4.448779315,5.579456804,-1,-1,-2,-2,5,-2,-2,5,5,4,4,-2,5,6,6,6,-1,-2,5,5,5,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-1,-2,-2,-2,-2,286.36774,286.36774,286.5213,286.5213,286.80118,286.62564,286.8708,286.8708,287.0369,287.24573,286.62564,286.62564,286.99445,286.99445,287.3317,286.62564,286.82956,286.82956,286.9828,286.9828,286.04364,286.04364,284.4244,284.4244,285.1751,286.04364,286.04364,284.04736,283.54645,283.54645,285.52667,285.52667,283.7648,283.7648,283.7648,286.36774,285.93668,285.93668,285.33102,285.33102
,162,16.2,-90.77944859,43.64550488,8.991140869,4.977058491,6.754899702,-1,-1,-1,-1,-1,-2,-1,10,10,10,-2,9,9,10,10,10,9,9,-2,5,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,8,9,9,9,-1,-2,-2,-2,-2,283.88293,283.88293,283.38565,283.38565,283.85132,283.88293,283.09088,283.09088,283.34955,283.34955,283.24454,283.24454,284.08356,284.08356,284.08356,283.8645,283.04462,283.04462,282.75797,282.75797,283.8645,283.8645,283.6903,283.6903,284.7114,284.65527,285.6767,285.6767,287.22885,287.22885,284.65527,284.65527,286.4366,286.4366,290.29517,284.65527,285.33722,285.33722,285.95422,285.95422
,161,16.1,-90.78035575,43.64493047,6.179411645,5.051215522,8.22196544,-1,-2,-2,-2,-2,-2,-2,-2,2,2,6,-2,-2,2,-2,-2,-1,-1,7,7,7,-1,-2,6,6,6,3,4,4,-2,8,3,9,9,8,8,-1,9,9,-1,9,282.3201,282.36407,282.59866,282.59866,283.2962,282.3201,282.53857,282.53857,283.32324,283.32324,282.23877,282.23877,282.48648,282.48648,283.26627,282.23877,282.23877,282.23877,282.23877,282.15686,284.55267,284.55267,286.2623,286.2623,286.2623,285.46915,287.83868,287.83868,289.36136,289.36136,285.46915,286.05667,289.34427,289.34427,290.5813,282.3201,282.36407,282.4118,282.4118,282.53806
,160,16,-90.78085391,43.64415362,13.97165065,6.723218993,8.5181379,-1,-1,-1,-1,-2,6,-1,-2,7,7,7,-1,-2,-2,6,6,-1,-1,-1,-2,-2,-1,-1,-2,4,4,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,281.84473,281.82828,281.82828,281.82108,281.82108,281.69278,281.69278,281.84567,281.84567,282.208,281.84473,281.58072,281.58072,281.86813,281.86813,281.68143,281.68143,281.549,281.549,281.457,281.84473,281.837,281.837,281.80603,281.80603,282.0158,282.0158,282.1546,282.1546,282.2513,281.84473,282.1837,282.1837,282.55362,282.55362,281.99576,281.99576,282.18716,282.18716,282.18716
,159,15.9,-90.78111246,43.64328722,14.68163401,8.133852799,7.802930432,0,-2,-2,-2,5,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,0,0,10,10,10,0,0,0,0,0,-1,0,0,0,0,0,0,-2,-2,6,-1,-2,-2,-2,-2,280.60565,280.8052,280.8052,281.02997,281.3936,280.60565,280.8052,281.19135,281.19135,281.32947,280.60565,280.441,280.441,280.5407,280.61185,280.78998,280.78998,282.6609,282.6609,286.61642,282.07907,283.761,283.761,295.69687,295.69687,282.07907,282.07907,286.94937,286.94937,294.15192,282.07907,282.07907,282.07907,284.89432,284.89432,280.60565,280.60565,280.66794,280.66794,280.92038
,158,15.8,-90.78111979,43.64241113,13.05119115,10.00060655,6.062319444,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,-1,-2,-2,-2,7,10,10,10,9,7,9,9,9,9,7,10,10,10,8,7,10,10,9,9,-1,-2,-2,-2,-2,283.69604,281.4487,280.14645,280.14645,280.5618,283.69604,280.83643,280.83643,280.21732,280.21732,285.00122,285.00122,281.8493,280.39722,280.01608,285.00122,285.00122,285.13303,285.13303,283.9278,288.04782,288.04782,290.15494,288.9983,288.9983,287.3788,290.4798,290.4798,292.7458,292.7458,287.3788,284.73218,288.99152,288.99152,285.98914,283.69604,281.4487,279.95898,279.95898,280.24014
,157,15.7,-90.78058428,43.64160912,36.75982671,19.41553831,5.630598586,-1,-2,-2,2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,11,11,-1,-2,11,11,11,-1,-2,-2,10,10,-1,-1,-1,-1,-1,-1,-1,-2,-2,10,280.2904,280.56888,280.8027,281.05157,281.18585,280.2904,280.4896,280.4896,280.7065,280.7065,280.2904,279.97107,280.19058,280.19058,280.41306,279.97107,279.97107,279.97107,279.97107,279.74905,279.7455,279.68906,284.16962,284.16962,284.16962,279.7455,280.15198,280.15198,283.05136,283.05136,279.7455,280.17688,279.8485,280.2066,280.2066,280.56888,280.56888,280.87115,280.87115,281.06018
,156,15.6,-90.77983163,43.64090558,22.63607381,16.86024093,4.873327732,10,-2,-2,-2,-2,-2,10,10,-2,-2,-2,10,10,10,10,9,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,-1,10,10,10,-2,-2,-2,-2,-2,280.4236,280.4236,280.4236,280.60568,280.60568,279.94717,279.94717,280.16748,280.3065,280.3065,279.94717,279.94717,279.5346,279.6724,281.2954,279.73584,280.5462,280.5462,287.4377,296.37695,279.73584,279.64755,283.5283,283.5283,297.20743,279.73584,279.64755,279.64755,280.41916,290.43173,280.24713,279.64755,279.99817,279.99817,280.03586,280.24713,280.24713,280.24713,280.62625,280.62625
,155,15.5,-90.77904335,43.64022544,17.44468674,22.76908789,4.624037847,-1,5,-2,4,4,-2,-1,6,6,4,4,-1,-1,10,10,-1,9,9,9,9,9,9,8,10,10,9,-1,10,9,9,10,-1,-1,10,10,10,-1,-2,10,10,10,280.4229,280.4229,280.67142,280.67142,281.02307,280.4229,280.4229,280.67142,280.8999,280.8999,279.9184,279.9184,279.73663,279.73663,279.73663,279.56873,279.77597,279.77597,284.28705,284.28705,279.56873,279.56873,285.42316,285.42316,290.52325,280.1667,279.5344,279.5344,279.68262,279.68262,280.1667,280.1667,279.5344,279.5344,279.682,280.1667,280.1667,280.1667,280.61716,280.61716
