STREAM_ID,NODE_ID,STREAM_KM,ELEVATION,GRADIENT,BOTTOM_WIDTH,CHANNEL_ANGLE_Z,MANNINGS_n,SED_THERMAL_CONDUCTIVITY,SED_THERMAL_DIFFUSIVITY,SED_HYPORHEIC_THICKNESSS,HYPORHEIC_PERCENT,POROSITY
,125,12.5,272.52985,0.004490256,9.556315155,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,124,12.4,272.52988,0.004490256,7.87445649,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,123,12.3,272.5121,0.004490256,12.65072936,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,122,12.2,272.47977,0.004490256,14.49233846,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,121,12.1,272.64505,0.004490256,10.23841605,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,120,12.0,268.01987,0.004490256,12.50069394,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,119,11.9,267.89276,0.0012711,13.77304101,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,118,11.8,267.78616,0.001066,14.71566365,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,117,11.7,267.7853,8.6e-06,6.650069066,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,116,11.6,267.7776,7.7e-05,7.086308462,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,115,11.5,267.7093,0.000683,9.87733976,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,114,11.4,267.73273,0.00154165,18.17397573,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,113,11.3,267.40097,0.00154165,15.17264724,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,112,11.2,267.39703,3.94e-05,6.649500779,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,111,11.1,266.4832,0.0091383,6.014237204,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,110,11.0,266.39444,0.0008876,11.99056465,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,109,10.9,266.37112,0.0002332,10.37105621,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
,108,10.8,266.4032,0.0019618,19.53321785,0,0.032,1.575931368,0.006311085,0.272480853,0.030131925,0.76221616
