FID,Id,NODE_ID,STREAM_ID,STREAM_KM,LENGTH,LONGITUDE,LATITUDE,STREAM_AZM,CHANWIDTH,LEFT,RIGHT,ELEVATION,Z_NODE,GRADIENT,TOPO_NE,TOPO_E,TOPO_SE,TOPO_S,TOPO_SW,TOPO_W,TOPO_NW,TOPO_N,LC_T0_S0,LC_T1_S1,LC_T1_S2,LC_T1_S3,LC_T1_S4,LC_T1_S5,LC_T2_S1,LC_T2_S2,LC_T2_S3,LC_T2_S4,LC_T2_S5,LC_T3_S1,LC_T3_S2,LC_T3_S3,LC_T3_S4,LC_T3_S5,LC_T4_S1,LC_T4_S2,LC_T4_S3,LC_T4_S4,LC_T4_S5,LC_T5_S1,LC_T5_S2,LC_T5_S3,LC_T5_S4,LC_T5_S5,LC_T6_S1,LC_T6_S2,LC_T6_S3,LC_T6_S4,LC_T6_S5,LC_T7_S1,LC_T7_S2,LC_T7_S3,LC_T7_S4,LC_T7_S5,LC_T8_S1,LC_T8_S2,LC_T8_S3,LC_T8_S4,LC_T8_S5,ELE_T1_S1,ELE_T1_S2,ELE_T1_S3,ELE_T1_S4,ELE_T1_S5,ELE_T2_S1,ELE_T2_S2,ELE_T2_S3,ELE_T2_S4,ELE_T2_S5,ELE_T3_S1,ELE_T3_S2,ELE_T3_S3,ELE_T3_S4,ELE_T3_S5,ELE_T4_S1,ELE_T4_S2,ELE_T4_S3,ELE_T4_S4,ELE_T4_S5,ELE_T5_S1,ELE_T5_S2,ELE_T5_S3,ELE_T5_S4,ELE_T5_S5,ELE_T6_S1,ELE_T6_S2,ELE_T6_S3,ELE_T6_S4,ELE_T6_S5,ELE_T7_S1,ELE_T7_S2,ELE_T7_S3,ELE_T7_S4,ELE_T7_S5,ELE_T8_S1,ELE_T8_S2,ELE_T8_S3,ELE_T8_S4,ELE_T8_S5
10,0,175,0,17.5,100,-90.78010206,43.65414292,139.3081759,8.449964817,3.416774654,5.033190163,286.0464,286.32736,0.001228,0,0,0,0,0,0,0,0,5,5,4,-2,-2,-2,-2,-2,-2,-2,-2,5,-1,-2,-2,-2,-1,-1,-1,-2,-2,-1,-2,-2,-2,4,5,-1,-2,-2,-2,5,7,7,-1,-1,7,7,7,-2,-2,286.6245,286.8166,286.8166,286.8166,286.94016,286.46777,286.68597,286.68597,286.82843,286.90768,286.46777,286.68597,286.52997,286.52997,286.4616,286.46777,286.32736,286.32736,286.13318,286.09747,286.0898,286.0898,286.15228,286.41605,286.72116,286.0898,286.0898,286.1843,286.1843,286.55994,286.21735,286.21735,286.21735,286.14954,286.14954,286.6245,286.6245,286.6245,286.7682,286.7682
11,0,174,0,17.4,100,-90.77936501,43.65350063,130.0952414,5.929937958,2.869844918,3.06009304,285.96945,286.21643,0.0007695,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,286.30228,286.30228,286.4662,286.73666,286.73666,286.0569,286.17462,286.17462,286.33212,286.33212,286.0569,286.06253,286.01886,286.01886,286.17194,286.01062,286.21643,286.71243,286.71243,287.2915,286.01062,286.21643,286.47247,286.47247,287.7318,286.01062,286.07153,286.07153,286.53668,286.53668,286.1399,286.1399,286.04312,286.31097,286.08072,286.1399,286.1399,286.4569,286.4569,286.4569
12,0,173,0,17.3,100,-90.77831023,43.65306817,135.993199,3.489613109,1.459189204,2.030423905,285.91278,285.97324,0.0005667,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,5,5,-1,-2,-2,2,-2,2,2,-2,-2,-2,286.11932,286.0445,286.1191,286.01303,286.01303,286.0445,286.0445,285.98557,285.98557,285.96384,285.97324,285.96347,285.95413,286.05948,286.05948,285.97324,285.97324,285.944,285.94034,285.94034,285.97324,285.97272,285.9422,286.09482,286.09482,286.18405,286.18405,286.09412,286.09412,286.00845,286.11932,286.18405,286.18405,286.09412,286.44223,286.11932,286.3254,286.3254,286.3254,286.3254
13,0,172,0,17.2,100,-90.77776618,43.65232103,151.4625803,6.313660924,2.899642417,3.414018507,285.8081,285.8906,0.0010468,0,0,0,0,0,0,0,0,-1,-2,3,3,-2,3,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,3,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,286.31952,286.70395,286.70395,287.10413,287.47238,286.04755,286.32217,286.73578,286.73578,287.21555,286.04755,286.0477,286.0477,286.0477,286.0836,286.04755,285.8906,285.8906,285.83417,285.83417,285.89734,285.84897,285.84897,286.2779,286.40793,285.89734,285.89734,286.03867,286.03867,286.29837,286.0477,286.0477,286.0477,285.89838,285.89838,286.31952,286.31952,286.67374,286.67374,287.04358
14,0,171,0,17.1,100,-90.77715344,43.65155735,162.3126771,8.288192233,4.4407536,3.847438634,285.71213,286.99857,0.0009597,0,0,0,0,0,0,0,0,-1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,7,7,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,288.26636,288.26636,289.69983,289.69983,289.79987,288.26636,289.56372,289.56372,290.71545,290.71545,288.26636,288.26636,289.39362,289.39362,289.39362,286.99857,286.6901,286.6901,286.4101,286.4101,286.99857,286.99857,285.92346,285.92346,285.80997,286.99857,286.0062,286.0062,285.7915,285.7915,286.99857,286.99857,286.35065,286.35065,285.77585,286.99857,287.30908,287.30908,287.62192,287.62192
15,0,170,0,17,100,-90.77702146,43.65067841,195.4481327,7.815002025,3.928865038,3.886136988,285.6381,286.0486,0.0007403,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-1,-1,-1,-1,286.39575,286.39575,288.28122,288.28122,292.11685,286.18665,287.58212,287.58212,291.40802,291.40802,286.18665,286.18665,287.31622,287.31622,290.71722,286.18665,286.0486,286.0486,286.1015,286.1015,285.68628,285.68628,285.67117,285.67117,285.6827,285.68628,285.66428,285.66428,285.73965,285.73965,285.71417,285.71417,285.6381,285.6381,285.6381,286.39575,286.58408,286.58408,286.94824,286.94824
16,0,169,0,16.9,100,-90.77771429,43.65002833,213.9451065,10.17731632,5.167963372,5.009352947,285.56088,285.59454,0.0007722,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-2,-1,-1,-1,4,4,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,285.64645,285.61166,285.65634,285.6193,285.6193,285.62857,285.62857,285.7561,285.7561,286.30588,285.60675,285.62857,285.69406,285.9394,285.9394,285.60675,285.59454,285.59454,285.6252,285.6252,285.60675,285.6517,285.6023,285.65744,285.60675,285.60675,285.6517,285.72006,285.72006,285.79144,285.64645,285.70883,285.7768,285.85153,285.85153,285.64645,285.64645,285.71063,285.7877,285.7877
17,0,168,0,16.8,100,-90.77830179,43.64926906,214.9712843,9.432117926,4.74399361,4.688124316,285.4729,285.54437,0.0008798,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,2,-2,-1,4,-2,6,6,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,285.54437,285.5248,285.55893,285.55893,285.66373,285.54437,285.63385,285.63385,285.93677,285.93677,285.54437,285.54437,285.63385,285.71228,286.08426,285.54437,285.54437,285.583,285.583,285.65445,285.51944,285.51944,285.55365,285.51715,285.51715,285.51944,285.51944,285.55365,285.61316,285.61316,285.51944,285.54895,285.60605,285.60605,285.65906,285.54437,285.5248,285.54922,285.54922,285.6079
18,0,167,0,16.7,100,-90.77905309,43.64861049,210.8933934,4.79286773,1.981315828,2.811551902,285.30664,285.46292,0.0016626,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-2,-1,3,-2,-2,-2,-2,6,6,6,6,-2,-2,-2,-2,7,-1,-2,-2,-2,-2,-2,-2,-2,7,9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,285.47784,285.45007,285.45007,285.45007,285.4916,285.47784,285.45007,285.45007,285.4525,285.51498,285.46292,285.47684,285.5331,285.5331,285.58212,285.46292,285.46292,285.50247,285.53198,285.53198,285.44693,285.44693,285.46277,285.40616,285.40616,285.51282,285.51282,285.60544,285.41577,285.41577,285.51282,285.51282,285.51282,285.60544,285.81158,285.47784,285.47784,285.47784,285.59113,285.59113
19,0,166,0,16.6,100,-90.77944771,43.6478484,200.7648008,7.150098516,3.579388333,3.570710183,285.21246,285.28073,0.0009418,0,0,0,0,0,0,0,0,-1,-1,8,8,8,8,-2,8,8,7,7,-2,9,9,-2,7,-1,-2,9,9,9,-1,-1,-2,-2,7,-2,7,7,9,9,-2,-2,9,9,9,-1,-1,-1,-1,-1,285.3666,285.3108,285.3108,285.3789,285.3789,285.32855,285.32855,285.4368,285.4368,285.52792,285.3666,285.3585,285.3585,285.4038,285.4038,285.3666,285.28073,285.23257,285.23257,285.21246,285.3666,285.44946,285.44946,285.5007,285.5007,285.6391,285.6391,286.07703,286.07703,286.5443,285.3666,285.94824,285.94824,288.67508,288.67508,285.49582,285.49582,285.6533,285.6533,285.6533
20,0,165,0,16.5,100,-90.77986399,43.6470126,193.2219859,11.7778819,5.843731404,5.934150494,284.6436,285.73416,0.0056886,0,0,0,0,0,0,0,0,-1,-1,-1,-2,-2,7,-1,2,-2,5,-2,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-1,-1,7,7,7,-1,10,10,9,9,-1,10,-2,4,10,-1,-1,-1,-1,-2,285.33832,285.33832,285.38007,285.04767,285.1227,285.33832,285.33832,285.0113,285.0113,284.86267,285.32642,285.32642,285.32642,284.9705,284.9705,285.73416,285.73416,285.73416,285.76343,285.76343,285.73416,286.09973,286.09973,286.09973,288.23993,285.73175,285.9929,287.9315,287.9315,290.29785,285.73175,285.9929,286.29132,286.29132,289.77075,285.73175,285.80466,285.80466,286.06335,286.06335
21,0,164,0,16.4,100,-90.77996687,43.64617368,169.4364895,7.772499177,4.033907224,3.738591954,283.90378,285.34265,0.0073982,0,0,0,0,0,0,0,0,10,10,8,-2,-2,10,8,-2,-2,-2,11,10,10,-2,-2,-2,10,10,10,11,11,10,10,10,-2,11,-1,-2,10,10,8,-1,-1,-1,-2,10,10,-2,-2,-2,8,285.52826,285.47452,285.47452,285.30472,285.30472,285.28796,285.28796,285.07098,285.07098,284.8666,285.52826,285.11652,285.11652,284.67413,284.67413,285.52826,285.34265,285.2093,285.2093,285.04587,285.52826,285.6004,285.6004,285.98816,285.98816,285.52826,285.78976,286.38947,286.38947,287.4256,285.52826,286.00464,286.00464,288.10144,288.10144,285.74487,285.74487,285.94156,285.94156,285.94156
22,0,163,0,16.3,100,-90.77945349,43.64549312,193.2977421,5.502179949,2.586853577,2.915326372,283.44034,286.82956,0.0046344,0,0,0,0,0,0,0,0,-1,-1,-2,-2,5,-2,-2,5,5,4,4,-2,5,6,6,6,-1,-2,5,5,5,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-1,-2,-2,-2,-2,286.36774,286.36774,286.5213,286.5213,286.80118,286.62564,286.8708,286.8708,287.0369,287.24573,286.62564,286.62564,286.99445,286.99445,287.3317,286.62564,286.82956,286.82956,286.9828,286.9828,286.04364,286.04364,284.4244,284.4244,285.1751,286.04364,286.04364,284.04736,283.54645,283.54645,285.52667,285.52667,283.7648,283.7648,283.7648,286.36774,285.93668,285.93668,285.33102,285.33102
23,0,162,0,16.2,100,-90.7803517,43.64493986,218.3312966,8.959052177,4.131912069,4.827140108,282.7442,283.8645,0.0069614,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-2,-1,10,10,10,-2,9,9,10,10,10,9,9,-2,5,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,8,9,9,9,-1,-2,-2,-2,-2,283.88293,283.88293,283.38565,283.38565,283.85132,283.88293,283.09088,283.09088,283.34955,283.34955,283.24454,283.24454,284.08356,284.08356,284.08356,283.8645,283.04462,283.04462,282.75797,282.75797,283.8645,283.8645,283.6903,283.6903,284.7114,284.65527,285.6767,285.6767,287.22885,287.22885,284.65527,284.65527,286.4366,286.4366,290.29517,284.65527,285.33722,285.33722,285.95422,285.95422
24,0,161,0,16.1,100,-90.78087269,43.64416425,199.9851404,8.836548496,3.865921654,4.970626842,282.06265,282.23877,0.0068155,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-2,-2,-2,-2,2,2,6,-2,-2,2,-2,-2,-1,-1,7,7,7,-1,-2,6,6,6,3,4,4,-2,8,3,9,9,8,8,-1,9,9,-1,9,282.3201,282.36407,282.59866,282.59866,283.2962,282.3201,282.53857,282.53857,283.32324,283.32324,282.23877,282.23877,282.48648,282.48648,283.26627,282.23877,282.23877,282.23877,282.23877,282.15686,284.55267,284.55267,286.2623,286.2623,286.2623,285.46915,287.83868,287.83868,289.36136,289.36136,285.46915,286.05667,289.34427,289.34427,290.5813,282.3201,282.36407,282.4118,282.4118,282.53806
25,0,160,0,16,100,-90.78114745,43.64330333,187.1129676,15.36211315,7.800538356,7.56157479,281.36386,281.68143,0.0069879,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-2,6,-1,-2,7,7,7,-1,-2,-2,6,6,-1,-1,-1,-2,-2,-1,-1,-2,4,4,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,281.84473,281.82828,281.82828,281.82108,281.82108,281.69278,281.69278,281.84567,281.84567,282.208,281.84473,281.58072,281.58072,281.86813,281.86813,281.68143,281.68143,281.549,281.549,281.457,281.84473,281.837,281.837,281.80603,281.80603,282.0158,282.0158,282.1546,282.1546,282.2513,281.84473,282.1837,282.1837,282.55362,282.55362,281.99576,281.99576,282.18716,282.18716,282.18716
26,0,159,0,15.9,100,-90.78114866,43.64242584,167.6296142,9.23923197,3.317578757,5.921653213,280.26324,280.60565,0.0110062,0,0,0,0,0,0,0,0,0,-2,-2,-2,5,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,0,0,10,10,10,0,0,0,0,0,-1,0,0,0,0,0,0,-2,-2,6,-1,-2,-2,-2,-2,280.60565,280.8052,280.8052,281.02997,281.3936,280.60565,280.8052,281.19135,281.19135,281.32947,280.60565,280.441,280.441,280.5407,280.61185,280.78998,280.78998,282.6609,282.6609,286.61642,282.07907,283.761,283.761,295.69687,295.69687,282.07907,282.07907,286.94937,286.94937,294.15192,282.07907,282.07907,282.07907,284.89432,284.89432,280.60565,280.60565,280.66794,280.66794,280.92038
27,0,158,0,15.8,100,-90.78061574,43.64161829,148.4005226,6.523584603,3.458131929,3.065452674,279.95898,281.4487,0.0030426,0,0,0,0,0,0,0,0,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,-1,-2,-2,-2,7,10,10,10,9,7,9,9,9,9,7,10,10,10,8,7,10,10,9,9,-1,-2,-2,-2,-2,283.69604,281.4487,280.14645,280.14645,280.5618,283.69604,280.83643,280.83643,280.21732,280.21732,285.00122,285.00122,281.8493,280.39722,280.01608,285.00122,285.00122,285.13303,285.13303,283.9278,288.04782,288.04782,290.15494,288.9983,288.9983,287.3788,290.4798,290.4798,292.7458,292.7458,287.3788,284.73218,288.99152,288.99152,285.98914,283.69604,281.4487,279.95898,279.95898,280.24014
28,0,157,0,15.7,100,-90.7798485,43.64092272,141.9767707,10.70052586,5.743068537,4.957457319,279.68906,280.56888,0.0026992,0,0,0,0,0,0,0,0,-1,-2,-2,2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,11,11,-1,-2,11,11,11,-1,-2,-2,10,10,-1,-1,-1,-1,-1,-1,-1,-2,-2,10,280.2904,280.56888,280.8027,281.05157,281.18585,280.2904,280.4896,280.4896,280.7065,280.7065,280.2904,279.97107,280.19058,280.19058,280.41306,279.97107,279.97107,279.97107,279.97107,279.74905,279.7455,279.68906,284.16962,284.16962,284.16962,279.7455,280.15198,280.15198,283.05136,283.05136,279.7455,280.17688,279.8485,280.2066,280.2066,280.56888,280.56888,280.87115,280.87115,281.06018
29,0,156,0,15.6,100,-90.77910033,43.64023765,134.3678304,7.518262193,4.177336237,3.340925955,279.5346,280.24713,0.0015446,0,0,0,0,0,0,0,0,10,-2,-2,-2,-2,-2,10,10,-2,-2,-2,10,10,10,10,9,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,-1,10,10,10,-2,-2,-2,-2,-2,280.4236,280.4236,280.4236,280.60568,280.60568,279.94717,279.94717,280.16748,280.3065,280.3065,279.94717,279.94717,279.5346,279.6724,281.2954,279.73584,280.5462,280.5462,287.4377,296.37695,279.73584,279.64755,283.5283,283.5283,297.20743,279.73584,279.64755,279.64755,280.41916,290.43173,280.24713,279.64755,279.99817,279.99817,280.03586,280.24713,280.24713,280.24713,280.62625,280.62625
