STREAM_ID,NODE_ID,STREAM_KM,INFLOW,TEMPERATURE,OUTFLOW
,,12.6,0.000141298,9.2026167,
,,12.5,5.24E-05,9.2026167,
,,12.4,0.000547361,9.2026167,
,,12.3,0.000211234,9.2026167,
,,12.2,0.000250683,9.2026167,
,,12.1,0.000143689,9.2026167,
,,12,0.000141838,9.2026167,
,,11.9,0.000961579,9.2026167,
,,11.8,0,9.2026167,
,,11.7,0.000362981,9.2026167,
,,11.6,0.000619573,9.2026167,
,,11.5,0.000408019,9.2026167,
,,11.4,0.00036635,9.2026167,
,,11.3,0.000215294,9.2026167,
,,11.2,0.001091958,9.2026167,
,,11.1,3.18E-05,9.2026167,
,,11,0.000718601,9.2026167,
,,10.9,0.000137534,9.2026167,
,,10.8,0.00981848,9.2026167,
,,10.7,6.34E-05,9.2026167,
,,10.6,0,9.2026167,
,,10.5,0.000707192,9.2026167,
,,10.4,0.001043022,9.2026167,
,,10.3,0.000157606,9.2026167,
,,10.2,0.000379154,9.2026167,
,,10.1,0,9.2026167,
,,10,0.001442389,9.2026167,
,,9.9,0.00045779,9.2026167,
,,9.8,0.000430231,9.2026167,
,,9.7,0.000150345,9.2026167,
,,9.6,0.000232141,9.2026167,
,,9.5,0.000244122,9.2026167,
,,9.4,0.006030027,9.2026167,
,,9.3,8.33E-05,9.2026167,
,,9.2,5.34E-05,9.2026167,
,,9.1,1.81E-05,9.2026167,
,,9,0.000614144,9.2026167,
,,8.9,3.43E-05,9.2026167,
,,8.8,3.43E-05,9.2026167,
,,8.7,3.43E-05,9.2026167,
,,8.6,9.16E-05,9.2026167,
,,8.5,0.000152001,9.2026167,
,,8.4,0.000123785,9.2026167,
,,8.3,0,9.2026167,
,,8.2,0.000198357,9.2026167,
,,8.1,0.000448203,9.2026167,
,,8,0.000344115,9.2026167,
,,7.9,0.00030492,9.2026167,
,,7.8,0,9.2026167,
,,7.7,0.000146477,9.2026167,
,,7.6,0.001508459,9.2026167,
,,7.5,0.001544433,9.2026167,
,,7.4,7.35E-05,9.2026167,
,,7.3,0.009030065,9.2026167,
,,7.2,6.96E-05,9.2026167,
,,7.1,0.000889898,9.2026167,
,,7,0.001410633,9.2026167,
,,6.9,0.000891526,9.2026167,
,,6.8,0.000125152,9.2026167,
,,6.7,0.001002422,9.2026167,
,,6.6,0.000359567,9.2026167,
,,6.5,0.000185846,9.2026167,
,,6.4,9.38E-05,9.2026167,
,,6.3,0.006027843,9.2026167,
,,6.2,0.000405899,9.2026167,
,,6.1,0.00025745,9.2026167,
,,6,0.000239757,9.2026167,
,,5.9,0.000345699,9.2026167,
,,5.8,0.00234091,9.2026167,
,,5.7,0.000243984,9.2026167,
,,5.6,0.00085441,9.2026167,
,,5.5,0.000226744,9.2026167,
,,5.4,0.000184443,9.2026167,
,,5.3,0.000154773,9.2026167,
,,5.2,8.22E-05,9.2026167,
,,5.1,0.004999385,9.2026167,
,,5,0.000140446,9.2026167,
,,4.9,0.000148678,9.2026167,
,,4.8,0.000786888,9.2026167,
,,4.7,0.002904914,9.2026167,
,,4.6,0.000217079,9.2026167,
,,4.5,0.000475274,9.2026167,
,,4.4,0.000440686,9.2026167,
,,4.3,0.000170665,9.2026167,
,,4.2,0.000311426,9.2026167,
,,4.1,0.001174515,9.2026167,
,,4,7.35E-05,9.2026167,
,,3.9,0.000403986,9.2026167,
,,3.8,0.001729439,9.2026167,
,,3.7,0.000272592,9.2026167,
,,3.6,0.0002952,9.2026167,
,,3.5,0.000476441,9.2026167,
