STREAM_ID,NODE_ID,STREAM_KM,INFLOW,TEMPERATURE,OUTFLOW
,,9.4,0.005952245,11.76746726,
,,9.3,5.31E-05,11.76746726,
,,9.2,7.64E-05,11.76746726,
,,9.1,1.63E-05,11.76746726,
,,9,2.75E-05,11.76746726,
,,8.9,0.000587867,11.76746726,
,,8.8,4.76E-05,11.76746726,
,,8.7,0.002668502,11.76746726,
,,8.6,9.80E-05,11.76746726,
,,8.5,7.50E-05,11.76746726,
,,8.4,0.000198016,11.76746726,
,,8.3,0,11.76746726,
,,8.2,0.000160068,11.76746726,
,,8.1,0.000418092,11.76746726,
,,8,0.000341064,11.76746726,
,,7.9,0.000320146,11.76746726,
,,7.8,0,11.76746726,
,,7.7,0.000136813,11.76746726,
,,7.6,0.001419482,11.76746726,
,,7.5,0.000261492,11.76746726,
,,7.4,0.001318754,11.76746726,
,,7.3,0.008558138,11.76746726,
,,7.2,8.44E-05,11.76746726,
,,7.1,0.000837577,11.76746726,
,,7,0.001365004,11.76746726,
,,6.9,0.000839115,11.76746726,
,,6.8,9.29E-05,11.76746726,
,,6.7,0.000972086,11.76746726,
,,6.6,0.000293897,11.76746726,
,,6.5,0.000222535,11.76746726,
,,6.4,0.000107816,11.76746726,
,,6.3,0.005726357,11.76746726,
,,6.2,0.000392593,11.76746726,
,,6.1,0.000238351,11.76746726,
,,6,0.000227088,11.76746726,
,,5.9,0.000330694,11.76746726,
,,5.8,0.002227009,11.76746726,
,,5.7,0.000240453,11.76746726,
,,5.6,0.00080453,11.76746726,
,,5.5,0.000201136,11.76746726,
,,5.4,0.000190661,11.76746726,
,,5.3,0.000151207,11.76746726,
,,5.2,7.72E-05,11.76746726,
,,5.1,0.004742613,11.76746726,
,,5,0.000139578,11.76746726,
,,4.9,0.000147325,11.76746726,
,,4.8,0.000749697,11.76746726,
,,4.7,0.002517428,11.76746726,
,,4.6,0.000387979,11.76746726,
,,4.5,0.00051984,11.76746726,
,,4.4,0.000390202,11.76746726,
,,4.3,0.000182425,11.76746726,
,,4.2,0.000290618,11.76746726,
,,4.1,0.000135183,11.76746726,
,,4,0.001064901,11.76746726,
,,3.9,0.00037773,11.76746726,
,,3.8,0.001652863,11.76746726,
,,3.7,0.000205429,11.76746726,
,,3.6,0.000264824,11.76746726,
,,3.5,0.00049722,11.76746726,
,,3.4,8.54E-05,11.76746726,
,,3.3,0.000167578,11.76746726,
,,3.2,0.000150151,11.76746726,
,,3.1,0.000294142,11.76746726,
,,3,5.74E-05,11.76746726,
,,2.9,0.001680465,11.76746726,
,,2.8,6.90E-05,11.76746726,
,,2.7,0.000420584,11.76746726,
,,2.6,0,11.76746726,
,,2.5,8.54E-05,11.76746726,
,,2.4,0.000111417,11.76746726,
,,2.3,0.020861099,11.76746726,
,,2.2,0.000222495,11.76746726,
,,2.1,0.001796865,11.76746726,
,,2,0.000450205,11.76746726,
,,1.9,0.000204594,11.76746726,
,,1.8,0.001058794,11.76746726,
,,1.7,9.75E-05,11.76746726,
,,1.6,0.000634552,11.76746726,
,,1.5,0.00018121,11.76746726,
,,1.4,0,11.76746726,
,,1.3,0.000798252,11.76746726,
,,1.2,0.000199209,11.76746726,
,,1.1,0.00127636,11.76746726,
,,1,9.98E-05,11.76746726,
,,0.9,5.83E-05,11.76746726,
,,0.8,0.000234248,11.76746726,
,,0.7,2.28E-05,11.76746726,
,,0.6,1.91E-05,11.76746726,
,,0.5,0.000115627,11.76746726,
,,0.4,3.73E-05,11.76746726,
,,0.3,0.000692501,11.76746726,
,,0.2,0.00186044,11.76746726,
,,0.1,0.000126573,11.76746726,
,,0,9.70E-05,11.76746726,
